"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "comment", "blank", "total"
"e:\DiscordBot\cmds\icon\seticoncolor.js", "JavaScript", 133, 0, 0, 0, 5, 18, 156
"e:\DiscordBot\cmds\inventory\AddItem.js", "JavaScript", 47, 0, 0, 0, 2, 4, 53
"e:\DiscordBot\cmds\inventory\GiveItem.js", "JavaScript", 56, 0, 0, 0, 1, 9, 66
"e:\DiscordBot\cmds\inventory\bag.js", "JavaScript", 65, 0, 0, 0, 75, 16, 156
"e:\DiscordBot\cmds\inventory\bagtest.js", "JavaScript", 93, 0, 0, 0, 0, 12, 105
"e:\DiscordBot\cmds\inventory\checkforemoji.js", "JavaScript", 42, 0, 0, 0, 7, 6, 55
"e:\DiscordBot\cmds\inventory\inventory.js", "JavaScript", 136, 0, 0, 0, 104, 22, 262
"e:\DiscordBot\cmds\inventory\items.js", "JavaScript", 32, 0, 0, 0, 0, 1, 33
"e:\DiscordBot\cmds\inventory\removeItem.js", "JavaScript", 60, 0, 0, 0, 2, 7, 69
"e:\DiscordBot\cmds\joinleave\botjoin.js", "JavaScript", 12, 0, 0, 0, 61, 6, 79
"e:\DiscordBot\cmds\joinleave\leave.js", "JavaScript", 25, 0, 0, 0, 65, 2, 92
"e:\DiscordBot\cmds\joinleave\nitrobooster.js", "JavaScript", 15, 0, 0, 0, 1, 4, 20
"e:\DiscordBot\cmds\joinleave\setwelcome.js", "JavaScript", 48, 0, 0, 0, 0, 7, 55
"e:\DiscordBot\cmds\joinleave\simJoin.js", "JavaScript", 23, 0, 0, 0, 0, 3, 26
"e:\DiscordBot\cmds\joinleave\simLeave.js", "JavaScript", 23, 0, 0, 0, 0, 3, 26
"e:\DiscordBot\cmds\joinleave\welcome.js", "JavaScript", 40, 0, 0, 0, 70, 2, 112
"e:\DiscordBot\cmds\language\lang.json", "JSON", 0, 0, 943, 0, 0, 0, 943
"e:\DiscordBot\cmds\language\language.js", "JavaScript", 25, 0, 0, 0, 1, 8, 34
